16:34:05.829 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
16:34:05.833 [main] INFO  c.c.t.c.t.CzhToolApplication - [logStarting,55] - Starting CzhToolApplication using Java 1.8.0_381 on czhdeMacBook-Pro.local with PID 97274 (/Users/czh/czh-tool/target/classes started by czh in /Users/czh/czh-tool)
16:34:05.834 [main] INFO  c.c.t.c.t.CzhToolApplication - [logStartupProfileInfo,680] - No active profile set, falling back to 1 default profile: "default"
16:34:06.300 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8080"]
16:34:06.300 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
16:34:06.301 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.75]
16:34:06.394 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
16:34:06.680 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8080"]
16:34:06.693 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Pausing ProtocolHandler ["http-nio-8080"]
16:34:06.693 [main] INFO  o.a.c.c.StandardService - [log,173] - Stopping service [Tomcat]
16:34:06.695 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Stopping ProtocolHandler ["http-nio-8080"]
16:34:06.695 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Destroying ProtocolHandler ["http-nio-8080"]
16:34:16.796 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
16:34:16.802 [main] INFO  c.c.t.c.t.CzhToolApplication - [logStarting,55] - Starting CzhToolApplication using Java 1.8.0_381 on czhdeMacBook-Pro.local with PID 97314 (/Users/czh/czh-tool/target/classes started by czh in /Users/czh/czh-tool)
16:34:16.802 [main] INFO  c.c.t.c.t.CzhToolApplication - [logStartupProfileInfo,680] - No active profile set, falling back to 1 default profile: "default"
16:34:17.234 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9999"]
16:34:17.235 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
16:34:17.235 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.75]
16:34:17.311 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
16:34:17.578 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-9999"]
16:34:17.593 [main] INFO  c.c.t.c.t.CzhToolApplication - [logStarted,61] - Started CzhToolApplication in 0.928 seconds (JVM running for 1.183)
16:37:38.572 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
16:37:38.574 [main] INFO  c.c.t.c.t.CzhToolApplication - [logStarting,55] - Starting CzhToolApplication using Java 1.8.0_381 on czhdeMacBook-Pro.local with PID 97977 (/Users/czh/czh-tool/target/classes started by czh in /Users/czh/czh-tool)
16:37:38.574 [main] INFO  c.c.t.c.t.CzhToolApplication - [logStartupProfileInfo,680] - No active profile set, falling back to 1 default profile: "default"
16:37:39.006 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9999"]
16:37:39.006 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
16:37:39.006 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.75]
16:37:39.082 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
16:37:39.344 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-9999"]
16:37:39.359 [main] INFO  c.c.t.c.t.CzhToolApplication - [logStarted,61] - Started CzhToolApplication in 0.92 seconds (JVM running for 1.182)
16:39:40.757 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
16:39:40.762 [main] INFO  c.c.t.c.t.CzhToolApplication - [logStarting,55] - Starting CzhToolApplication using Java 1.8.0_381 on czhdeMacBook-Pro.local with PID 98388 (/Users/czh/czh-tool/target/classes started by czh in /Users/czh/czh-tool)
16:39:40.762 [main] INFO  c.c.t.c.t.CzhToolApplication - [logStartupProfileInfo,680] - No active profile set, falling back to 1 default profile: "default"
